;mae;mse;rmse;mape;n
SANSED01#B07Sd01;80.4599518035872;6587.18338508835;81.1614649023066;0.230968926830253;5
SANSED01#B07Sd02;50.3098427302515;2691.1457769122;51.8762544610943;0.132951743205458;5
SANSED01#B07Sd03;22.1614198730049;713.635921687551;26.7139649188875;0.0528722310681995;5
SANSED01#B08Sd01;130.757878418234;17160.8297731849;130.99935027772;0.375354523286127;5
SANSED01#B08Sd02;192.034177477034;36954.297857901;192.235006848131;0.332502844572043;5
SANSED01#B08Sd03;22.7124202868544;529.386611122628;23.0084030545935;0.0532804455754415;5
SANSED01#B09Sd01;35.1849969980254;1371.7092772663;37.0365937589608;0.0951592011733059;5
SANSED01#B09Sd02;26.7927717395897;2382.04736618904;48.8062226175008;0.0824568719344193;5
SANSED01#B09Sd03;164.979828520668;27837.4104289565;166.845468709691;0.72958814382615;5
SANSED01#B10Sd01;44.1363140730787;1950.66660264005;44.1663514753036;0.303012063079912;5
SANSED01#B10Sd02;109.696299363332;12065.002134246;109.84080359432;0.427357500286228;5
SANSED01#B10Sd03;74.8112872271185;5652.01905248762;75.1799112295806;0.614609284292068;5
SANSED01#B11Sd01;36.94130359013;1395.7864791936;37.3602258985891;0.486805905901826;5
SANSED01#B11Sd02;4.42824450297995;25.087886548358;5.00878094433745;0.0418021045725536;5
SANSED01#B11Sd03;19.422783080501;448.298675458953;21.1730648574776;0.208396422954204;5
SANSED01#C06Sd01;73.4088359683369;10083.9204711828;100.418725699855;0.0973247213821087;5
SANSED01#C06Sd02;139.105508229521;23409.2577228625;153.000842229259;0.172215023138758;5
SANSED01#C06Sd03;71.7464211939015;9972.8594805014;99.8642052013703;0.0966212404582248;5
SANSED01#C07Sd01;129.266545704189;17934.6913355735;133.920466455182;0.340690293936639;5
SANSED01#C07Sd02;27.373345616147;1278.42657351494;35.7550915746965;0.0573000409708792;5
SANSED01#C07Sd03;97.9652288854727;11397.0882703154;106.757146225981;0.244414583354912;5
SANSED01#C08Sd01;10.4794473413647;136.986663330992;11.7041301825891;0.0171899304419116;5
SANSED01#C08Sd02;47.295068338748;2392.31376204097;48.91128460837;0.0804014281579358;5
SANSED01#C08Sd03;221.469885073014;49219.2746540016;221.854174299249;0.286465811883905;5
SANSED01#C09Sd01;118.754571909459;14277.2759882901;119.487555788417;0.219561258647228;5
